Reporting Economy;Product/Sector;Partner Economy;2015;;;;;;
Hong Kong, China;BOP6 - SG - Financial services;G-7 (Group of Seven);9819;;;;;;
Hong Kong, China;BOP6 - SG - Financial services;Germany;125;;;;;;
Hong Kong, China;BOP6 - SG - Financial services;India;75;;;;;;
Hong Kong, China;BOP6 - SG - Financial services;Indonesia;32;;;;;;
Hong Kong, China;BOP6 - SG - Financial services;Italy;19;;;;;;
Hong Kong, China;BOP6 - SG - Financial services;Japan;590;;;;;;
Hong Kong, China;BOP6 - SG - Financial services;Korea, Republic of;232;;;;;;
Hong Kong, China;BOP6 - SG - Financial services;Macao, China;73;;;;;;
Hong Kong, China;BOP6 - SG - Financial services;Malaysia;26;;;;;;
Hong Kong, China;BOP6 - SG - Financial services;Netherlands;74;;;;;;
Hong Kong, China;BOP6 - SG - Financial services;Philippines;51;;;;;;
Hong Kong, China;BOP6 - SG - Financial services;Singapore;1427;;;;;;
Hong Kong, China;BOP6 - SG - Financial services;Sweden;21;;;;;;
Hong Kong, China;BOP6 - SG - Financial services;Switzerland;253;;;;;;
Hong Kong, China;BOP6 - SG - Financial services;Chinese Taipei;187;;;;;;
Hong Kong, China;BOP6 - SG - Financial services;Thailand;249;;;;;;
Hong Kong, China;BOP6 - SG - Financial services;United Kingdom;3813;;;;;;
Hong Kong, China;BOP6 - SG - Financial services;United States of America;4052;;;;;;
Hong Kong, China;BOP6 - SG1 - Explicitly charged and other financial services;Australia;295;;;;;;
Hong Kong, China;BOP6 - SG1 - Explicitly charged and other financial services;Belgium-Luxembourg;688;;;;;;
Hong Kong, China;BOP6 - SG1 - Explicitly charged and other financial services;Canada;81;;;;;;
Hong Kong, China;BOP6 - SG1 - Explicitly charged and other financial services;China;1210;;;;;;
Hong Kong, China;BOP6 - SG1 - Explicitly charged and other financial services;European Union (28);5967;;;;;;
Hong Kong, China;BOP6 - SG1 - Explicitly charged and other financial services;France;1139;;;;;;
Hong Kong, China;BOP6 - SG1 - Explicitly charged and other financial services;G-7 (Group of Seven);9819;;;;;;
Hong Kong, China;BOP6 - SG1 - Explicitly charged and other financial services;Germany;125;;;;;;
Hong Kong, China;BOP6 - SG1 - Explicitly charged and other financial services;India;75;;;;;;
Hong Kong, China;BOP6 - SG1 - Explicitly charged and other financial services;Indonesia;32;;;;;;
Hong Kong, China;BOP6 - SG1 - Explicitly charged and other financial services;Italy;19;;;;;;
Hong Kong, China;BOP6 - SG1 - Explicitly charged and other financial services;Japan;590;;;;;;
Hong Kong, China;BOP6 - SG1 - Explicitly charged and other financial services;Korea, Republic of;232;;;;;;
Hong Kong, China;BOP6 - SG1 - Explicitly charged and other financial services;Macao, China;73;;;;;;
Hong Kong, China;BOP6 - SG1 - Explicitly charged and other financial services;Malaysia;26;;;;;;
Hong Kong, China;BOP6 - SG1 - Explicitly charged and other financial services;Netherlands;74;;;;;;
Hong Kong, China;BOP6 - SG1 - Explicitly charged and other financial services;Philippines;51;;;;;;
Hong Kong, China;BOP6 - SG1 - Explicitly charged and other financial services;Singapore;1427;;;;;;
Hong Kong, China;BOP6 - SG1 - Explicitly charged and other financial services;Sweden;21;;;;;;
Hong Kong, China;BOP6 - SG1 - Explicitly charged and other financial services;Switzerland;253;;;;;;
Hong Kong, China;BOP6 - SG1 - Explicitly charged and other financial services;Chinese Taipei;187;;;;;;
Hong Kong, China;BOP6 - SG1 - Explicitly charged and other financial services;Thailand;249;;;;;;
Hong Kong, China;BOP6 - SG1 - Explicitly charged and other financial services;United Kingdom;3813;;;;;;
Hong Kong, China;BOP6 - SG1 - Explicitly charged and other financial services;United States of America;4052;;;;;;
Hong Kong, China;BOP6 - SH - Charges for the use of intellectual property n.i.e.;China;207;;;;;;
Hong Kong, China;BOP6 - SH - Charges for the use of intellectual property n.i.e.;European Union (28);87;;;;;;
Hong Kong, China;BOP6 - SH - Charges for the use of intellectual property n.i.e.;G-7 (Group of Seven);180;;;;;;
Hong Kong, China;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Germany;18;;;;;;
Hong Kong, China;BOP6 - SH - Charges for the use of intellectual property n.i.e.;India;36;;;;;;
Hong Kong, China;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Indonesia;2;;;;;;
Hong Kong, China;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Japan;27;;;;;;
Hong Kong, China;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Macao, China;6;;;;;;
Hong Kong, China;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Malaysia;37;;;;;;
Hong Kong, China;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Netherlands;3;;;;;;
Hong Kong, China;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Philippines;4;;;;;;
Hong Kong, China;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Singapore;71;;;;;;
Hong Kong, China;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Sweden;3;;;;;;
Hong Kong, China;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Switzerland;11;;;;;;
Hong Kong, China;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Chinese Taipei;18;;;;;;
Hong Kong, China;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Thailand;3;;;;;;
Hong Kong, China;BOP6 - SH - Charges for the use of intellectual property n.i.e.;United Kingdom;56;;;;;;
Hong Kong, China;BOP6 - SI - Telecommunications, computer, and information services;Australia;111;;;;;;
Hong Kong, China;BOP6 - SI - Telecommunications, computer, and information services;Belgium-Luxembourg;0;;;;;;
Hong Kong, China;BOP6 - SI - Telecommunications, computer, and information services;Canada;13;;;;;;
Hong Kong, China;BOP6 - SI - Telecommunications, computer, and information services;China;834;;;;;;
Hong Kong, China;BOP6 - SI - Telecommunications, computer, and information services;European Union (28);554;;;;;;
Hong Kong, China;BOP6 - SI - Telecommunications, computer, and information services;France;110;;;;;;
Hong Kong, China;BOP6 - SI - Telecommunications, computer, and information services;G-7 (Group of Seven);897;;;;;;
Hong Kong, China;BOP6 - SI - Telecommunications, computer, and information services;Germany;61;;;;;;
Hong Kong, China;BOP6 - SI - Telecommunications, computer, and information services;India;84;;;;;;
Hong Kong, China;BOP6 - SI - Telecommunications, computer, and information services;Indonesia;101;;;;;;
Hong Kong, China;BOP6 - SI - Telecommunications, computer, and information services;Italy;0;;;;;;
Hong Kong, China;BOP6 - SI - Telecommunications, computer, and information services;Japan;78;;;;;;
Hong Kong, China;BOP6 - SI - Telecommunications, computer, and information services;Korea, Republic of;22;;;;;;
Hong Kong, China;BOP6 - SI - Telecommunications, computer, and information services;Macao, China;12;;;;;;
Hong Kong, China;BOP6 - SI - Telecommunications, computer, and information services;Malaysia;65;;;;;;
Hong Kong, China;BOP6 - SI - Telecommunications, computer, and information services;Netherlands;21;;;;;;
Hong Kong, China;BOP6 - SI - Telecommunications, computer, and information services;Philippines;36;;;;;;
Hong Kong, China;BOP6 - SI - Telecommunications, computer, and information services;Singapore;211;;;;;;
Hong Kong, China;BOP6 - SI - Telecommunications, computer, and information services;Sweden;19;;;;;;
Hong Kong, China;BOP6 - SI - Telecommunications, computer, and information services;Switzerland;57;;;;;;
Hong Kong, China;BOP6 - SI - Telecommunications, computer, and information services;Chinese Taipei;52;;;;;;
Hong Kong, China;BOP6 - SI - Telecommunications, computer, and information services;Thailand;13;;;;;;
Hong Kong, China;BOP6 - SI - Telecommunications, computer, and information services;United Kingdom;320;;;;;;
Hong Kong, China;BOP6 - SI - Telecommunications, computer, and information services;United States of America;315;;;;;;
Hong Kong, China;BOP6 - SJ - Other business services;Australia;476;;;;;;
Hong Kong, China;BOP6 - SJ - Other business services;Belgium-Luxembourg;371;;;;;;
Hong Kong, China;BOP6 - SJ - Other business services;China;2269;;;;;;
Hong Kong, China;BOP6 - SJ - Other business services;European Union (28);3643;;;;;;
Hong Kong, China;BOP6 - SJ - Other business services;France;251;;;;;;
Hong Kong, China;BOP6 - SJ - Other business services;Germany;673;;;;;;
Hong Kong, China;BOP6 - SJ - Other business services;India;147;;;;;;
Hong Kong, China;BOP6 - SJ - Other business services;Indonesia;64;;;;;;
Hong Kong, China;BOP6 - SJ - Other business services;Italy;127;;;;;;
Hong Kong, China;BOP6 - SJ - Other business services;Japan;663;;;;;;
Hong Kong, China;BOP6 - SJ - Other business services;Korea, Republic of;143;;;;;;
Hong Kong, China;BOP6 - SJ - Other business services;Macao, China;191;;;;;;
Hong Kong, China;BOP6 - SJ - Other business services;Malaysia;116;;;;;;
Hong Kong, China;BOP6 - SJ - Other business services;Netherlands;105;;;;;;
Hong Kong, China;BOP6 - SJ - Other business services;Philippines;78;;;;;;
Hong Kong, China;BOP6 - SJ - Other business services;Singapore;663;;;;;;
Hong Kong, China;BOP6 - SJ - Other business services;Sweden;1079;;;;;;
Hong Kong, China;BOP6 - SJ - Other business services;Switzerland;402;;;;;;
Hong Kong, China;BOP6 - SJ - Other business services;Chinese Taipei;144;;;;;;
Hong Kong, China;BOP6 - SJ - Other business services;Thailand;85;;;;;;
Hong Kong, China;BOP6 - SJ - Other business services;United Kingdom;952;;;;;;
Hong Kong, China;BOP6 - SJ - Other business services;United States of America;4101;;;;;;
Hong Kong, China;BOP6 - SK - Personal, cultural, and recreational services;Belgium-Luxembourg;0;;;;;;
Hong Kong, China;BOP6 - SK - Personal, cultural, and recreational services;European Union (28);6;;;;;;
Hong Kong, China;BOP6 - SK - Personal, cultural, and recreational services;G-7 (Group of Seven);29;;;;;;
Hong Kong, China;BOP6 - SK - Personal, cultural, and recreational services;India;0;;;;;;
Hong Kong, China;BOP6 - SK - Personal, cultural, and recreational services;Korea, Republic of;3;;;;;;
Hong Kong, China;BOP6 - SK - Personal, cultural, and recreational services;Macao, China;7;;;;;;
Hong Kong, China;BOP6 - SK - Personal, cultural, and recreational services;Malaysia;5;;;;;;
Hong Kong, China;BOP6 - SK - Personal, cultural, and recreational services;Philippines;0;;;;;;
Hong Kong, China;BOP6 - SK - Personal, cultural, and recreational services;Singapore;14;;;;;;
Hong Kong, China;BOP6 - SK - Personal, cultural, and recreational services;Sweden;0;;;;;;
Hong Kong, China;BOP6 - SK - Personal, cultural, and recreational services;Chinese Taipei;2;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;Australia;2445;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;Bangladesh;103;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;Belgium;456;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;Belgium-Luxembourg;1153;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;Brazil;67;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;Canada;1067;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;China;40093;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;Denmark;240;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;European Union (28);16209;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;Finland;44;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;France;1892;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;G-7 (Group of Seven);33257;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;Germany;2811;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;India;1122;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;Indonesia;820;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;Israel;313;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;Italy;510;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;Japan;4250;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;Korea, Republic of;2153;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;Luxembourg;697;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;Macao, China;903;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;Malaysia;1199;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;Marshall Islands;37;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;Netherlands;412;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;New Zealand;175;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;Panama;223;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;Philippines;1107;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;Qatar;29;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;Russian Federation;139;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;Singapore;3801;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;South Africa;257;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;Sri Lanka;116;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;Sweden;1165;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;Switzerland;1239;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;Chinese Taipei;3710;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;Thailand;1271;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;Türkiye;47;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;United Arab Emirates;382;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;United Kingdom;7658;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;United States of America;15069;;;;;;
Hong Kong, China;BOP6 - S - Memo item: Total services;Viet Nam;375;;;;;;
Hong Kong, China;BOP6 - SPX1 - Memo item: Other services;Australia;951;;;;;;
Hong Kong, China;BOP6 - SPX1 - Memo item: Other services;Belgium-Luxembourg;1062;;;;;;
Hong Kong, China;BOP6 - SPX1 - Memo item: Other services;Canada;180;;;;;;
Hong Kong, China;BOP6 - SPX1 - Memo item: Other services;China;5250;;;;;;
Hong Kong, China;BOP6 - SPX1 - Memo item: Other services;European Union (28);10415;;;;;;
Hong Kong, China;BOP6 - SPX1 - Memo item: Other services;France;1532;;;;;;
Hong Kong, China;BOP6 - SPX1 - Memo item: Other services;G-7 (Group of Seven);18324;;;;;;
Hong Kong, China;BOP6 - SPX1 - Memo item: Other services;Germany;899;;;;;;
Hong Kong, China;BOP6 - SPX1 - Memo item: Other services;India;365;;;;;;
Hong Kong, China;BOP6 - SPX1 - Memo item: Other services;Indonesia;230;;;;;;
Hong Kong, China;BOP6 - SPX1 - Memo item: Other services;Italy;150;;;;;;
Hong Kong, China;BOP6 - SPX1 - Memo item: Other services;Japan;1514;;;;;;
Hong Kong, China;BOP6 - SPX1 - Memo item: Other services;Korea, Republic of;457;;;;;;
Hong Kong, China;BOP6 - SPX1 - Memo item: Other services;Macao, China;459;;;;;;
Hong Kong, China;BOP6 - SPX1 - Memo item: Other services;Malaysia;260;;;;;;
Hong Kong, China;BOP6 - SPX1 - Memo item: Other services;Netherlands;211;;;;;;
Hong Kong, China;BOP6 - SPX1 - Memo item: Other services;Philippines;211;;;;;;
Hong Kong, China;BOP6 - SPX1 - Memo item: Other services;Singapore;2444;;;;;;
Hong Kong, China;BOP6 - SPX1 - Memo item: Other services;Chinese Taipei;569;;;;;;
Hong Kong, China;BOP6 - SPX1 - Memo item: Other services;Thailand;381;;;;;;
Hong Kong, China;BOP6 - SPX1 - Memo item: Other services;United Kingdom;5211;;;;;;
Hong Kong, China;BOP6 - SPX1 - Memo item: Other services;United States of America;8654;;;;;;
Japan;BOP6 - SOX - Commercial services;Africa;1542;;;;;;
Japan;BOP6 - SOX - Commercial services;Asia;70634;;;;;;
Japan;BOP6 - SOX - Commercial services;Australia;2363;;;;;;
Japan;BOP6 - SOX - Commercial services;Belgium;961;;;;;;
Japan;BOP6 - SOX - Commercial services;Canada;1636;;;;;;
Japan;BOP6 - SOX - Commercial services;Cayman Islands;1019;;;;;;
Japan;BOP6 - SOX - Commercial services;China;19684;;;;;;
Japan;BOP6 - SOX - Commercial services;European Union (28);26412;;;;;;
Japan;BOP6 - SOX - Commercial services;France;2189;;;;;;
Japan;BOP6 - SOX - Commercial services;Germany;4568;;;;;;
Japan;BOP6 - SOX - Commercial services;Hong Kong, China;7059;;;;;;
Japan;BOP6 - SOX - Commercial services;India;2064;;;;;;
Japan;BOP6 - SOX - Commercial services;Indonesia;3048;;;;;;
Japan;BOP6 - SOX - Commercial services;Iran;10;;;;;;
Japan;BOP6 - SOX - Commercial services;Italy;608;;;;;;
Japan;BOP6 - SOX - Commercial services;Korea, Republic of;6555;;;;;;
Japan;BOP6 - SOX - Commercial services;Luxembourg;719;;;;;;
Japan;BOP6 - SOX - Commercial services;Malaysia;3331;;;;;;
Japan;BOP6 - SOX - Commercial services;Mexico;1370;;;;;;
Japan;BOP6 - SOX - Commercial services;Middle East;4788;;;;;;
Japan;BOP6 - SOX - Commercial services;Netherlands;2608;;;;;;
Japan;BOP6 - SOX - Commercial services;New Zealand;383;;;;;;
Japan;BOP6 - SOX - Commercial services;Philippines;1216;;;;;;
Japan;BOP6 - SOX - Commercial services;Russian Federation;615;;;;;;
Japan;BOP6 - SOX - Commercial services;Saudi Arabia, Kingdom of;1710;;;;;;
Japan;BOP6 - SOX - Commercial services;Singapore;9484;;;;;;
Japan;BOP6 - SOX - Commercial services;South Africa;303;;;;;;
Japan;BOP6 - SOX - Commercial services;Spain;554;;;;;;
Japan;BOP6 - SOX - Commercial services;Sweden;390;;;;;;
Japan;BOP6 - SOX - Commercial services;Switzerland;2968;;;;;;
Japan;BOP6 - SOX - Commercial services;Chinese Taipei;8063;;;;;;
Japan;BOP6 - SOX - Commercial services;Thailand;6691;;;;;;
Japan;BOP6 - SOX - Commercial services;United Arab Emirates;1297;;;;;;
Japan;BOP6 - SOX - Commercial services;United Kingdom;9984;;;;;;
Japan;BOP6 - SOX - Commercial services;United States of America;37525;;;;;;
Japan;BOP6 - SOX - Commercial services;Viet Nam;1991;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;Asia;341;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;Australia;39;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;Belgium;17;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;Brazil;1;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;Canada;0;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;Cayman Islands;0;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;China;51;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;European Union (28);109;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;France;2;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;Germany;71;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;Hong Kong, China;32;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;India;1;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;Indonesia;2;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;Italy;0;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;Korea, Republic of;30;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;Luxembourg;0;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;Malaysia;24;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;Mexico;1;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;Middle East;1;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;Netherlands;0;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;New Zealand;0;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;Philippines;4;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;Russian Federation;0;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;Saudi Arabia, Kingdom of;0;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;Singapore;110;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;South Africa;24;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;Spain;0;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;Sweden;0;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;Switzerland;1;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;Chinese Taipei;40;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;Thailand;40;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;United Arab Emirates;1;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;United Kingdom;1;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;United States of America;318;;;;;;
Japan;BOP6 - SPX4 - Goods-related services;Viet Nam;5;;;;;;
Japan;BOP6 - SA - Manufacturing services on physical inputs owned by others;Asia;151;;;;;;
Japan;BOP6 - SA - Manufacturing services on physical inputs owned by others;Australia;14;;;;;;
Japan;BOP6 - SA - Manufacturing services on physical inputs owned by others;Belgium;0;;;;;;
Japan;BOP6 - SA - Manufacturing services on physical inputs owned by others;Canada;0;;;;;;
Japan;BOP6 - SA - Manufacturing services on physical inputs owned by others;China;11;;;;;;
Japan;BOP6 - SA - Manufacturing services on physical inputs owned by others;European Union (28);17;;;;;;
Japan;BOP6 - SA - Manufacturing services on physical inputs owned by others;France;0;;;;;;
Japan;BOP6 - SA - Manufacturing services on physical inputs owned by others;Germany;6;;;;;;
Japan;BOP6 - SA - Manufacturing services on physical inputs owned by others;Hong Kong, China;21;;;;;;
Japan;BOP6 - SA - Manufacturing services on physical inputs owned by others;India;1;;;;;;
Japan;BOP6 - SA - Manufacturing services on physical inputs owned by others;Indonesia;1;;;;;;
Japan;BOP6 - SA - Manufacturing services on physical inputs owned by others;Italy;0;;;;;;
Japan;BOP6 - SA - Manufacturing services on physical inputs owned by others;Korea, Republic of;21;;;;;;
Japan;BOP6 - SA - Manufacturing services on physical inputs owned by others;Malaysia;21;;;;;;
Japan;BOP6 - SA - Manufacturing services on physical inputs owned by others;Mexico;0;;;;;;
Japan;BOP6 - SA - Manufacturing services on physical inputs owned by others;Middle East;1;;;;;;
Japan;BOP6 - SA - Manufacturing services on physical inputs owned by others;Netherlands;0;;;;;;
Japan;BOP6 - SA - Manufacturing services on physical inputs owned by others;Philippines;0;;;;;;
Japan;BOP6 - SA - Manufacturing services on physical inputs owned by others;Russian Federation;0;;;;;;
Japan;BOP6 - SA - Manufacturing services on physical inputs owned by others;Saudi Arabia, Kingdom of;0;;;;;;
Japan;BOP6 - SA - Manufacturing services on physical inputs owned by others;Singapore;39;;;;;;
Japan;BOP6 - SA - Manufacturing services on physical inputs owned by others;Switzerland;0;;;;;;
Japan;BOP6 - SA - Manufacturing services on physical inputs owned by others;Chinese Taipei;30;;;;;;
Japan;BOP6 - SA - Manufacturing services on physical inputs owned by others;Thailand;0;;;;;;
Japan;BOP6 - SA - Manufacturing services on physical inputs owned by others;United Arab Emirates;1;;;;;;
Japan;BOP6 - SA - Manufacturing services on physical inputs owned by others;United Kingdom;0;;;;;;
Japan;BOP6 - SA - Manufacturing services on physical inputs owned by others;United States of America;52;;;;;;
Japan;BOP6 - SA - Manufacturing services on physical inputs owned by others;Viet Nam;5;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;Africa;38;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;Asia;190;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;Australia;25;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;Belgium;17;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;Brazil;1;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;Canada;0;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;Cayman Islands;0;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;China;40;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;European Union (28);92;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;France;2;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;Germany;65;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;Hong Kong, China;11;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;India;0;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;Indonesia;1;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;Italy;0;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;Korea, Republic of;9;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;Luxembourg;0;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;Malaysia;3;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;Mexico;1;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;Middle East;0;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;New Zealand;0;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;Philippines;4;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;Russian Federation;0;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;Saudi Arabia, Kingdom of;0;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;Singapore;71;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;South Africa;24;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;Spain;0;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;Sweden;0;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;Switzerland;1;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;Chinese Taipei;10;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;Thailand;40;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;United Arab Emirates;0;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;United Kingdom;1;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;United States of America;266;;;;;;
Japan;BOP6 - SB - Maintenance and repair services n.i.e.;Viet Nam;0;;;;;;
Japan;BOP6 - SC - Transport;Africa;386;;;;;;
Japan;BOP6 - SC - Transport;Asia;17619;;;;;;
Japan;BOP6 - SC - Transport;Australia;547;;;;;;
Japan;BOP6 - SC - Transport;Belgium;207;;;;;;
Japan;BOP6 - SC - Transport;Brazil;97;;;;;;
Japan;BOP6 - SC - Transport;Canada;280;;;;;;
Japan;BOP6 - SC - Transport;Cayman Islands;47;;;;;;
Japan;BOP6 - SC - Transport;China;4078;;;;;;
Japan;BOP6 - SC - Transport;European Union (28);5402;;;;;;
Japan;BOP6 - SC - Transport;France;212;;;;;;
Japan;BOP6 - SC - Transport;Germany;1712;;;;;;
Japan;BOP6 - SC - Transport;Hong Kong, China;2821;;;;;;
Japan;BOP6 - SC - Transport;India;443;;;;;;
Japan;BOP6 - SC - Transport;Indonesia;417;;;;;;
Japan;BOP6 - SC - Transport;Iran;4;;;;;;
Japan;BOP6 - SC - Transport;Italy;293;;;;;;
Japan;BOP6 - SC - Transport;Korea, Republic of;1919;;;;;;
Japan;BOP6 - SC - Transport;Luxembourg;19;;;;;;
Japan;BOP6 - SC - Transport;Malaysia;436;;;;;;
Japan;BOP6 - SC - Transport;Mexico;211;;;;;;
Japan;BOP6 - SC - Transport;Middle East;969;;;;;;
Japan;BOP6 - SC - Transport;Netherlands;1107;;;;;;
Japan;BOP6 - SC - Transport;New Zealand;61;;;;;;
Japan;BOP6 - SC - Transport;Philippines;246;;;;;;
Japan;BOP6 - SC - Transport;Russian Federation;126;;;;;;
Japan;BOP6 - SC - Transport;Saudi Arabia, Kingdom of;184;;;;;;
Japan;BOP6 - SC - Transport;Singapore;3161;;;;;;
Japan;BOP6 - SC - Transport;South Africa;69;;;;;;
Japan;BOP6 - SC - Transport;Spain;65;;;;;;
Japan;BOP6 - SC - Transport;Sweden;33;;;;;;
Japan;BOP6 - SC - Transport;Switzerland;196;;;;;;
