Reporting Economy;Product/Sector;Partner Economy;2015;;;;;;
China;BOP6 - SOX1 - Other commercial services;United States of America;19774;;;;;;
China;BOP6 - SE - Construction;Brazil;1;;;;;;
China;BOP6 - SE - Construction;France;224;;;;;;
China;BOP6 - SE - Construction;Germany;85;;;;;;
China;BOP6 - SE - Construction;Hong Kong, China;2556;;;;;;
China;BOP6 - SE - Construction;India;28;;;;;;
China;BOP6 - SE - Construction;Japan;101;;;;;;
China;BOP6 - SE - Construction;Korea, Republic of;172;;;;;;
China;BOP6 - SE - Construction;Macao, China;279;;;;;;
China;BOP6 - SE - Construction;Russian Federation;172;;;;;;
China;BOP6 - SE - Construction;South Africa;6;;;;;;
China;BOP6 - SE - Construction;Chinese Taipei;55;;;;;;
China;BOP6 - SE - Construction;United Kingdom;102;;;;;;
China;BOP6 - SE - Construction;United States of America;203;;;;;;
China;BOP6 - SF - Insurance and pension services;Brazil;3;;;;;;
China;BOP6 - SF - Insurance and pension services;France;38;;;;;;
China;BOP6 - SF - Insurance and pension services;Germany;32;;;;;;
China;BOP6 - SF - Insurance and pension services;Hong Kong, China;2638;;;;;;
China;BOP6 - SF - Insurance and pension services;India;2;;;;;;
China;BOP6 - SF - Insurance and pension services;Japan;80;;;;;;
China;BOP6 - SF - Insurance and pension services;Korea, Republic of;79;;;;;;
China;BOP6 - SF - Insurance and pension services;Macao, China;11;;;;;;
China;BOP6 - SF - Insurance and pension services;Russian Federation;13;;;;;;
China;BOP6 - SF - Insurance and pension services;South Africa;1;;;;;;
China;BOP6 - SF - Insurance and pension services;Chinese Taipei;25;;;;;;
China;BOP6 - SF - Insurance and pension services;United Kingdom;404;;;;;;
China;BOP6 - SF - Insurance and pension services;United States of America;398;;;;;;
China;BOP6 - SG - Financial services;Brazil;25;;;;;;
China;BOP6 - SG - Financial services;France;48;;;;;;
China;BOP6 - SG - Financial services;Germany;25;;;;;;
China;BOP6 - SG - Financial services;Hong Kong, China;1211;;;;;;
China;BOP6 - SG - Financial services;India;17;;;;;;
China;BOP6 - SG - Financial services;Japan;45;;;;;;
China;BOP6 - SG - Financial services;Korea, Republic of;46;;;;;;
China;BOP6 - SG - Financial services;Macao, China;72;;;;;;
China;BOP6 - SG - Financial services;Russian Federation;11;;;;;;
China;BOP6 - SG - Financial services;South Africa;4;;;;;;
China;BOP6 - SG - Financial services;Chinese Taipei;152;;;;;;
China;BOP6 - SG - Financial services;United Kingdom;79;;;;;;
China;BOP6 - SG - Financial services;United States of America;243;;;;;;
China;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Brazil;0;;;;;;
China;BOP6 - SH - Charges for the use of intellectual property n.i.e.;France;19;;;;;;
China;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Germany;13;;;;;;
China;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Hong Kong, China;395;;;;;;
China;BOP6 - SH - Charges for the use of intellectual property n.i.e.;India;3;;;;;;
China;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Japan;20;;;;;;
China;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Korea, Republic of;17;;;;;;
China;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Macao, China;2;;;;;;
China;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Russian Federation;2;;;;;;
China;BOP6 - SH - Charges for the use of intellectual property n.i.e.;South Africa;1;;;;;;
China;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Chinese Taipei;29;;;;;;
China;BOP6 - SH - Charges for the use of intellectual property n.i.e.;United Kingdom;36;;;;;;
China;BOP6 - SH - Charges for the use of intellectual property n.i.e.;United States of America;281;;;;;;
China;BOP6 - SI - Telecommunications, computer, and information services;Brazil;249;;;;;;
China;BOP6 - SI - Telecommunications, computer, and information services;France;233;;;;;;
China;BOP6 - SI - Telecommunications, computer, and information services;Germany;557;;;;;;
China;BOP6 - SI - Telecommunications, computer, and information services;Hong Kong, China;4381;;;;;;
China;BOP6 - SI - Telecommunications, computer, and information services;India;71;;;;;;
China;BOP6 - SI - Telecommunications, computer, and information services;Japan;1403;;;;;;
China;BOP6 - SI - Telecommunications, computer, and information services;Korea, Republic of;433;;;;;;
China;BOP6 - SI - Telecommunications, computer, and information services;Macao, China;32;;;;;;
China;BOP6 - SI - Telecommunications, computer, and information services;Russian Federation;138;;;;;;
China;BOP6 - SI - Telecommunications, computer, and information services;South Africa;70;;;;;;
China;BOP6 - SI - Telecommunications, computer, and information services;Chinese Taipei;350;;;;;;
China;BOP6 - SI - Telecommunications, computer, and information services;United Kingdom;1173;;;;;;
China;BOP6 - SI - Telecommunications, computer, and information services;United States of America;6493;;;;;;
China;BOP6 - SJ - Other business services;Brazil;84;;;;;;
China;BOP6 - SJ - Other business services;France;1856;;;;;;
China;BOP6 - SJ - Other business services;Germany;3966;;;;;;
China;BOP6 - SJ - Other business services;Hong Kong, China;14363;;;;;;
China;BOP6 - SJ - Other business services;India;168;;;;;;
China;BOP6 - SJ - Other business services;Japan;5006;;;;;;
China;BOP6 - SJ - Other business services;Korea, Republic of;1444;;;;;;
China;BOP6 - SJ - Other business services;Macao, China;251;;;;;;
China;BOP6 - SJ - Other business services;Russian Federation;118;;;;;;
China;BOP6 - SJ - Other business services;South Africa;85;;;;;;
China;BOP6 - SJ - Other business services;Chinese Taipei;775;;;;;;
China;BOP6 - SJ - Other business services;United Kingdom;2083;;;;;;
China;BOP6 - SJ - Other business services;United States of America;12060;;;;;;
China;BOP6 - SK - Personal, cultural, and recreational services;Brazil;1;;;;;;
China;BOP6 - SK - Personal, cultural, and recreational services;France;13;;;;;;
China;BOP6 - SK - Personal, cultural, and recreational services;Germany;22;;;;;;
China;BOP6 - SK - Personal, cultural, and recreational services;Hong Kong, China;145;;;;;;
China;BOP6 - SK - Personal, cultural, and recreational services;India;2;;;;;;
China;BOP6 - SK - Personal, cultural, and recreational services;Japan;18;;;;;;
China;BOP6 - SK - Personal, cultural, and recreational services;Korea, Republic of;28;;;;;;
China;BOP6 - SK - Personal, cultural, and recreational services;Macao, China;27;;;;;;
China;BOP6 - SK - Personal, cultural, and recreational services;Russian Federation;3;;;;;;
China;BOP6 - SK - Personal, cultural, and recreational services;South Africa;0;;;;;;
China;BOP6 - SK - Personal, cultural, and recreational services;Chinese Taipei;11;;;;;;
China;BOP6 - SK - Personal, cultural, and recreational services;United Kingdom;37;;;;;;
China;BOP6 - SK - Personal, cultural, and recreational services;United States of America;95;;;;;;
China;BOP6 - S - Memo item: Total services;Brazil;693;;;;;;
China;BOP6 - S - Memo item: Total services;France;3666;;;;;;
China;BOP6 - S - Memo item: Total services;Germany;7678;;;;;;
China;BOP6 - S - Memo item: Total services;Hong Kong, China;66466;;;;;;
China;BOP6 - S - Memo item: Total services;India;925;;;;;;
China;BOP6 - S - Memo item: Total services;Japan;11768;;;;;;
China;BOP6 - S - Memo item: Total services;Korea, Republic of;10925;;;;;;
China;BOP6 - S - Memo item: Total services;Macao, China;5072;;;;;;
China;BOP6 - S - Memo item: Total services;Russian Federation;1211;;;;;;
China;BOP6 - S - Memo item: Total services;South Africa;611;;;;;;
China;BOP6 - S - Memo item: Total services;Chinese Taipei;6158;;;;;;
China;BOP6 - S - Memo item: Total services;United Kingdom;7009;;;;;;
China;BOP6 - S - Memo item: Total services;United States of America;33152;;;;;;
China;BOP6 - SPX1 - Memo item: Other services;Brazil;369;;;;;;
China;BOP6 - SPX1 - Memo item: Other services;France;2440;;;;;;
China;BOP6 - SPX1 - Memo item: Other services;Germany;4706;;;;;;
China;BOP6 - SPX1 - Memo item: Other services;Hong Kong, China;25743;;;;;;
China;BOP6 - SPX1 - Memo item: Other services;India;299;;;;;;
China;BOP6 - SPX1 - Memo item: Other services;Japan;6716;;;;;;
China;BOP6 - SPX1 - Memo item: Other services;Korea, Republic of;2292;;;;;;
China;BOP6 - SPX1 - Memo item: Other services;Macao, China;681;;;;;;
China;BOP6 - SPX1 - Memo item: Other services;Russian Federation;484;;;;;;
China;BOP6 - SPX1 - Memo item: Other services;South Africa;179;;;;;;
China;BOP6 - SPX1 - Memo item: Other services;Chinese Taipei;1402;;;;;;
China;BOP6 - SPX1 - Memo item: Other services;United Kingdom;3982;;;;;;
China;BOP6 - SPX1 - Memo item: Other services;United States of America;19840;;;;;;
China;BOP6 - SL - Memo item: Government goods and services n.i.e.;Brazil;5;;;;;;
